country,ISO3C,imfcode,year,flow,USD,EUR,Home,Other,Unclassified,Other_Excl_USDEUR
Germany,DEU,134,2008,Import,17.90007209777832,74.24173736572266,0.0,7.858190536499023,0.0,7.858190536499023
Germany,DEU,134,2009,Export,13.420318603515625,81.12972259521484,0.0,5.449958801269531,0.0,5.449958801269531
Germany,DEU,134,2009,Import,16.078733444213867,72.61700439453125,0.0,11.304262161254883,0.0,11.304262161254883
Germany,DEU,134,2010,Export,16.143611907958984,80.72512817382812,0.0,3.1312599182128906,0.0,3.1312599182128906
Germany,DEU,134,2010,Import,20.905542373657227,76.89305114746094,0.0,2.201406478881836,0.0,2.201406478881836
Germany,DEU,134,2011,Export,15.669885635375977,80.7256851196289,0.0,3.604429244995117,0.0,3.604429244995117
Germany,DEU,134,2011,Import,20.500394821166992,77.20088958740234,0.0,2.298715591430664,0.0,2.298715591430664
Germany,DEU,134,2012,Export,16.734050750732422,79.03558349609375,0.0,4.230365753173828,0.0,4.230365753173828
Germany,DEU,134,2012,Import,20.084373474121094,77.65592956542969,0.0,2.2596969604492188,0.0,2.2596969604492188
Germany,DEU,134,2013,Export,16.648441314697266,78.90487670898438,0.0,4.446681976318359,0.0,4.446681976318359
Germany,DEU,134,2013,Import,19.404319763183594,78.58130645751953,0.0,2.014373779296875,0.0,2.014373779296875
Germany,DEU,134,2014,Export,16.817928314208984,78.06280517578125,0.0,5.119266510009766,0.0,5.119266510009766
Germany,DEU,134,2014,Import,19.67314910888672,78.26040649414062,0.0,2.0664443969726562,0.0,2.0664443969726562
Germany,DEU,134,2015,Export,17.390300750732422,77.25636291503906,0.0,5.353336334228516,0.0,5.353336334228516
Germany,DEU,134,2015,Import,18.936504364013672,78.87507629394531,0.0,2.1884193420410156,0.0,2.1884193420410156
Germany,DEU,134,2016,Export,17.339031219482422,77.25053405761719,0.0,5.410434722900391,0.0,5.410434722900391
Germany,DEU,134,2016,Import,19.43373680114746,78.13375854492188,0.0,2.432504653930664,0.0,2.432504653930664
Germany,DEU,134,2017,Export,17.243419647216797,77.00255584716797,0.0,5.754024505615234,0.0,5.754024505615234
