"COUNTRY","INDICATOR","UNIT","FREQUENCY","TIME_PERIOD","OBS_VALUE"
"United States","Current account balance (credit less debit)","US dollar","Annual","1979","-156700000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1980","2127000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1981","4810000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1982","-11607000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1983","-44222000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1984","-99008000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1985","-124455000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1986","-147174000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1987","-160647000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1988","-121258000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1989","-99506000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1990","-78952000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1991","2851000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1992","-51605050000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1993","-84782800000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1994","-121642400000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1995","-113561000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1996","-124727100000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1997","-140724500000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1998","-215037000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1999","-286622000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2000","-401928000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2001","-394079000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2002","-456109000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2003","-522297000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2004","-635887000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2005","-749230000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2006","-816642000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2007","-736554000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2008","-696526000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2009","-379736000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2010","-432002000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2011","-455297000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2012","-418112000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2013","-339455000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2014","-369978000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2015","-408447000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2016","-396219000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2017","-367614000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2018","-438989000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2019","-441962000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2020","-593504000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2021","-858634000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2022","-993142000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2023","-928017000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","2024","-1185294000000"
